model_name,threshold_probability,net_benefit,treat_all_net_benefit,treat_none_net_benefit
ColposcopyOCT_EarlyConcat,0.2,0.04309435951502373,0.009620453347390617,0.0
ColposcopyOCT_EarlyConcat,0.22500000000000003,0.02792184603873686,-0.02232727396398393,0.0
ColposcopyOCT_EarlyConcat,0.25,0.01300298717272888,-0.05640484976278334,0.0
ColposcopyOCT_EarlyConcat,0.275,-0.003162888771744893,-0.09283260320287937,0.0
ColposcopyOCT_EarlyConcat,0.3,-0.019881015136682,-0.13186233903155362,0.0
ColposcopyOCT_EarlyConcat,0.325,-0.03488939651301273,-0.17378316640309258,0.0
ColposcopyOCT_EarlyConcat,0.35000000000000003,-0.049511374234621486,-0.21892867280321163,0.0
ColposcopyOCT_EarlyConcat,0.375,-0.06800210859251447,-0.26768581971534,0.0
ColposcopyOCT_EarlyConcat,0.4,-0.08961518186610438,-0.3205060622034793,0.0
ColposcopyOCT_EarlyConcat,0.425,-0.10847791707730746,-0.3779193692558045,0.0
ColposcopyOCT_EarlyConcat,0.45,-0.13183495471318346,-0.4405520678583409,0.0
ColposcopyOCT_EarlyConcat,0.47500000000000003,-0.15749177899942274,-0.509149785375405,0.0
ColposcopyOCT_EarlyConcat,0.5,-0.18292040063257775,-0.5846072746441751,0.0
ColposcopyOCT_EarlyConcat,0.525,-0.20966623200066592,-0.6680076575201843,0.0
ColposcopyOCT_EarlyConcat,0.55,-0.23868095823815388,-0.7606747496046392,0.0
ColposcopyOCT_EarlyConcat,0.5750000000000001,-0.27160532109522784,-0.8642438525225591,0.0
ColposcopyOCT_EarlyConcat,0.6000000000000001,-0.30890880337374815,-0.9807590933052193,0.0
ColposcopyOCT_EarlyConcat,0.6250000000000001,-0.3493234932349326,-1.1128096995255674,0.0
ColposcopyOCT_EarlyConcat,0.6500000000000001,-0.3965660064763917,-1.2637246780631082,0.0
ColposcopyOCT_EarlyConcat,0.675,-0.45192814565508316,-1.4378573456064236,0.0
ColposcopyOCT_EarlyConcat,0.7000000000000001,-0.5159023018801618,-1.6410121244069589,0.0
ColposcopyOCT_EarlyConcat,0.7250000000000001,-0.5871950927301485,-1.881104135716683,0.0
ColposcopyOCT_EarlyConcat,0.7500000000000001,-0.6626251976805487,-2.1692145492883514,0.0
ColposcopyOCT_EarlyConcat,0.7750000000000001,-0.7545832601183161,-2.52134949920928,0.0
ColposcopyOCT_EarlyConcat,0.8,-0.8771744860305748,-2.9615181866104385,0.0
ColposcopyOCT_LateFusion,0.05,0.14235773936686735,0.1659961712399079,0.0
ColposcopyOCT_LateFusion,0.07500000000000001,0.11812392255196683,0.14345552721936486,0.0
ColposcopyOCT_LateFusion,0.1,0.09711239969542551,0.11966262519768055,0.0
ColposcopyOCT_LateFusion,0.125,0.0756081030198057,0.09451012877475715,0.0
ColposcopyOCT_LateFusion,0.15000000000000002,0.056869980464510486,0.06787807373872054,0.0
ColposcopyOCT_LateFusion,0.175,0.03667673040366769,0.039631954761106036,0.0
ColposcopyOCT_LateFusion,0.2,0.017132314180284658,0.009620453347390617,0.0
ColposcopyOCT_LateFusion,0.22500000000000003,-0.0051524478378424665,-0.02232727396398393,0.0
ColposcopyOCT_LateFusion,0.25,-0.027938850817079586,-0.05640484976278334,0.0
ColposcopyOCT_LateFusion,0.275,-0.049370148873902564,-0.09283260320287937,0.0
ColposcopyOCT_LateFusion,0.3,-0.07259582799909636,-0.13186233903155362,0.0
ColposcopyOCT_LateFusion,0.325,-0.09611667545246882,-0.17378316640309258,0.0
ColposcopyOCT_LateFusion,0.35000000000000003,-0.12169011800008114,-0.21892867280321163,0.0
ColposcopyOCT_LateFusion,0.375,-0.14696889826041112,-0.26768581971534,0.0
ColposcopyOCT_LateFusion,0.4,-0.16903883324547533,-0.3205060622034793,0.0
ColposcopyOCT_LateFusion,0.425,-0.18832939882193855,-0.3779193692558045,0.0
ColposcopyOCT_LateFusion,0.45,-0.2051085445919394,-0.4405520678583409,0.0
ColposcopyOCT_LateFusion,0.47500000000000003,-0.21475010668474037,-0.509149785375405,0.0
ColposcopyOCT_LateFusion,0.5,-0.1734317343173432,-0.5846072746441751,0.0
ColposcopyOCT_LateFusion,0.525,-0.15217934134228564,-0.6680076575201843,0.0
ColposcopyOCT_LateFusion,0.55,-0.15287295730100164,-0.7606747496046392,0.0
ColposcopyOCT_LateFusion,0.5750000000000001,-0.1609352227976062,-0.8642438525225591,0.0
ColposcopyOCT_LateFusion,0.6000000000000001,-0.17422245651027946,-0.9807590933052193,0.0
ColposcopyOCT_LateFusion,0.6250000000000001,-0.18713758566157102,-1.1128096995255674,0.0
ColposcopyOCT_LateFusion,0.6500000000000001,-0.19783116198508935,-1.2637246780631082,0.0
ColposcopyOCT_LateFusion,0.675,-0.2206317667572281,-1.4378573456064236,0.0
ColposcopyOCT_LateFusion,0.7000000000000001,-0.2433667193814796,-1.6410121244069589,0.0
ColposcopyOCT_LateFusion,0.7250000000000001,-0.2664494177409308,-1.881104135716683,0.0
ColposcopyOCT_LateFusion,0.7500000000000001,-0.27833421191354785,-2.1692145492883514,0.0
ColposcopyOCT_LateFusion,0.7750000000000001,-0.3139459966028234,-2.52134949920928,0.0
ColposcopyOCT_LateFusion,0.8,-0.3537163943068003,-2.9615181866104385,0.0
ColposcopyOnly_ViT,0.05,0.10448630802097494,0.1659961712399079,0.0
ColposcopyOnly_ViT,0.07500000000000001,0.08467138725441309,0.14345552721936486,0.0
ColposcopyOnly_ViT,0.1,0.06817782463538921,0.11966262519768055,0.0
