model_name,fold_id,center,calibration_variant,uses_unlabeled_target_distribution,temperature,median_offset,auroc,brier,ece,sensitivity,specificity,ppv,npv,cin3_sensitivity,cin3_false_negatives,referral_rate
ColposcopyOCT_EarlyConcat,loco_荆州市第一人民医院,荆州市第一人民医院,no_calibration,False,,,0.5133670255621475,0.5706659577827249,0.5921796841724154,0.8108108108108109,0.33604336043360433,0.10909090909090909,0.9465648854961832,0.8461538461538461,2,0.6773399014778325
ColposcopyOCT_EarlyConcat,loco_荆州市第一人民医院,荆州市第一人民医院,threshold_lock_only,False,,,0.5133670255621475,0.5706659577827249,0.5921796841724154,0.3783783783783784,0.6016260162601627,0.08695652173913043,0.9061224489795918,0.23076923076923078,10,0.39655172413793105
ColposcopyOCT_EarlyConcat,loco_荆州市第一人民医院,荆州市第一人民医院,temperature_scaling_val_only,False,3.85,,0.5140262213432946,0.43917555822927845,0.5389922361434765,0.0,1.0,,0.9088669950738916,0.0,13,0.0
ColposcopyOCT_EarlyConcat,loco_荆州市第一人民医院,荆州市第一人民医院,logit_median_matching_target_unlabeled,True,,-5.086249940721311,0.5140262213432946,0.34984921263562696,0.3570220506498094,0.08108108108108109,0.8590785907859079,0.05454545454545454,0.9031339031339032,0.15384615384615385,11,0.1354679802955665
ColposcopyOCT_EarlyConcat,loco_荆州市第一人民医院,荆州市第一人民医院,full_model_calibration,True,,-5.086249940721311,0.5140262213432946,0.34984921263562696,0.3570220506498094,0.08108108108108109,0.8590785907859079,0.05454545454545454,0.9031339031339032,0.15384615384615385,11,0.1354679802955665
ColposcopyOCT_EarlyConcat,loco_襄阳市中心医院,襄阳市中心医院,no_calibration,False,,,0.5558508158508159,0.40832045122753435,0.41191656914398433,0.5909090909090909,0.517948717948718,0.25691699604743085,0.8178137651821862,0.6885245901639344,19,0.506
ColposcopyOCT_EarlyConcat,loco_襄阳市中心医院,襄阳市中心医院,threshold_lock_only,False,,,0.5558508158508159,0.40832045122753435,0.41191656914398433,0.42727272727272725,0.6641025641025641,0.2640449438202247,0.8043478260869565,0.16393442622950818,51,0.356
ColposcopyOCT_EarlyConcat,loco_襄阳市中心医院,襄阳市中心医院,temperature_scaling_val_only,False,2.95,,0.555990675990676,0.33537080791696167,0.35495129298999084,0.15454545454545454,0.8974358974358975,0.2982456140350877,0.7900677200902935,0.0,61,0.114
ColposcopyOCT_EarlyConcat,loco_襄阳市中心医院,襄阳市中心医院,logit_median_matching_target_unlabeled,True,,-2.849372158084774,0.555990675990676,0.3231184214539637,0.31607938195887125,0.24545454545454545,0.841025641025641,0.30337078651685395,0.7980535279805353,0.06557377049180328,57,0.178
ColposcopyOCT_EarlyConcat,loco_襄阳市中心医院,襄阳市中心医院,full_model_calibration,True,,-2.849372158084774,0.555990675990676,0.3231184214539637,0.31607938195887125,0.24545454545454545,0.841025641025641,0.30337078651685395,0.7980535279805353,0.06557377049180328,57,0.178
ColposcopyOCT_LateFusion,loco_十堰市人民医院,十堰市人民医院,no_calibration,False,,,0.5751678876678876,0.16306519266770553,0.26728175836503487,0.21428571428571427,0.8696581196581197,0.08955223880597014,0.9487179487179487,0.5,2,0.1350806451612903
ColposcopyOCT_LateFusion,loco_十堰市人民医院,十堰市人民医院,threshold_lock_only,False,,,0.5751678876678876,0.16306519266770553,0.26728175836503487,0.17857142857142858,0.9166666666666666,0.11363636363636363,0.9491150442477876,0.25,3,0.08870967741935484
ColposcopyOCT_LateFusion,loco_十堰市人民医院,十堰市人民医院,temperature_scaling_val_only,False,2.2,,0.5751678876678876,0.1706659174494853,0.2981009563781446,0.17857142857142858,0.9487179487179487,0.1724137931034483,0.9507494646680942,0.25,3,0.05846774193548387
ColposcopyOCT_LateFusion,loco_十堰市人民医院,十堰市人民医院,logit_median_matching_target_unlabeled,True,,-0.32614777253910876,0.5751678876678876,0.13015203398905498,0.21636495931054134,0.17857142857142858,0.9423076923076923,0.15625,0.9504310344827587,0.25,3,0.06451612903225806
ColposcopyOCT_LateFusion,loco_十堰市人民医院,十堰市人民医院,full_model_calibration,True,,-0.32614777253910876,0.5751678876678876,0.13015203398905498,0.21636495931054134,0.17857142857142858,0.9423076923076923,0.15625,0.9504310344827587,0.25,3,0.06451612903225806
ColposcopyOCT_LateFusion,loco_恩施州中心医院,恩施州中心医院,no_calibration,False,,,0.6702062430323299,0.22167279602308268,0.15653314135327306,0.46153846153846156,0.7717391304347826,0.4878048780487805,0.7526501766784452,0.53125,30,0.30295566502463056
ColposcopyOCT_LateFusion,loco_恩施州中心医院,恩施州中心医院,threshold_lock_only,False,,,0.6702062430323299,0.22167279602308268,0.15653314135327306,0.36153846153846153,0.8731884057971014,0.573170731707317,0.7438271604938271,0.4375,36,0.2019704433497537
