variant,model_name,center,n,auroc,auprc,brier,ece,accuracy,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,referral_rate,tp,fp,tn,fn
same_backbone_colpo_only,ColposcopyOnly_ViT,武大人民医院,89,,,0.5905702956598422,0.6574946228434225,0.8314606741573034,0.8314606741573034,,1.0,0.0,0.9079754601226994,,0.8314606741573034,74,0,0,15
same_backbone_colpo_only,ColposcopyOnly_ViT,荆州市第一人民医院,406,0.46572181938035606,0.08096628812892012,0.3658051310034693,0.37608440604239657,0.5886699507389163,0.2702702702702703,0.6205962059620597,0.06666666666666667,0.89453125,0.10695187165775401,0.445433238116165,0.3694581280788177,10,140,229,27
same_backbone_colpo_only,ColposcopyOnly_ViT,襄阳市中心医院,500,0.5472261072261072,0.24855811341988954,0.43445550157639595,0.43404633155897443,0.434,0.7181818181818181,0.35384615384615387,0.23867069486404835,0.8165680473372781,0.35827664399092973,0.536013986013986,0.662,79,252,138,31
same_backbone_cross_attention,ColposcopyOCTText_CrossAttention,十堰市人民医院,496,0.6771214896214895,0.17239276298308445,0.13363689376189747,0.1524736163717659,0.9455645161290323,0.03571428571428571,1.0,1.0,0.9454545454545454,0.06896551724137931,0.5178571428571429,0.0020161290322580645,1,0,468,27
same_backbone_cross_attention,ColposcopyOCTText_CrossAttention,恩施州中心医院,406,0.7554905239687848,0.6587713118145343,0.23275348523863823,0.21488834331931,0.7068965517241379,0.08461538461538462,1.0,1.0,0.6987341772151898,0.15602836879432624,0.5423076923076923,0.027093596059113302,11,0,276,119
same_backbone_cross_attention,ColposcopyOCTText_CrossAttention,武大人民医院,89,,,0.17527421564335466,0.25631140693586274,0.8764044943820225,0.8764044943820225,,1.0,0.0,0.9341317365269461,,0.8764044943820225,78,0,0,11
same_backbone_cross_attention,ColposcopyOCTText_CrossAttention,荆州市第一人民医院,406,0.5638321248077346,0.11606084381434516,0.7520112828899791,0.7737778721666382,0.8768472906403941,0.05405405405405406,0.959349593495935,0.11764705882352941,0.910025706940874,0.07407407407407407,0.5067018237749945,0.04187192118226601,2,15,354,35
same_backbone_cross_attention,ColposcopyOCTText_CrossAttention,襄阳市中心医院,500,0.5330419580419581,0.2815477108284835,0.4650873155237587,0.46970960224925185,0.772,0.1,0.9615384615384616,0.4230769230769231,0.7911392405063291,0.16176470588235295,0.5307692307692308,0.052,11,15,375,99
same_backbone_early_concat,ColposcopyOCT_EarlyConcat,十堰市人民医院,496,0.6580433455433455,0.12681590455636457,0.13045675157463094,0.1483898675927522,0.9375,0.0,0.9935897435897436,0.0,0.9432048681541582,0.0,0.4967948717948718,0.006048387096774193,0,3,465,28
same_backbone_early_concat,ColposcopyOCT_EarlyConcat,恩施州中心医院,406,0.6758082497212932,0.5689190710462712,0.2729052047504829,0.24259190228189792,0.7216748768472906,0.16923076923076924,0.9818840579710145,0.8148148148148148,0.7150395778364116,0.2802547770700637,0.5755574136008919,0.0665024630541872,22,5,271,108
