variant,source_variant,center,n,auroc,auprc,accuracy,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,referral_rate,tp,fp,tn,fn
shared_lora_g2,g2,武大人民医院,89,,,0.550561797752809,0.550561797752809,,1.0,0.0,0.7101449275362319,,0.550561797752809,49,0,0,40
shared_lora_g2,g2,荆州市第一人民医院,406,0.7363216875411998,0.2754613257629058,0.6133004926108374,0.7567567567567568,0.5989159891598916,0.1590909090909091,0.9608695652173913,0.26291079812206575,0.6778363729583242,0.43349753694581283,28,148,221,9
shared_lora_g2,g2,襄阳市中心医院,500,0.4803962703962704,0.3020937022818267,0.498,0.45454545454545453,0.5102564102564102,0.2074688796680498,0.7683397683397684,0.2849002849002849,0.4824009324009324,0.482,50,191,199,60
shared_lora_g3,g3,十堰市人民医院,496,0.7844169719169719,0.2864721309349873,0.6411290322580645,0.75,0.6346153846153846,0.109375,0.9769736842105263,0.19090909090909092,0.6923076923076923,0.3870967741935484,21,171,297,7
shared_lora_g3,g3,恩施州中心医院,406,0.7045707915273133,0.5811859549367673,0.7266009852216748,0.35384615384615387,0.9021739130434783,0.6301369863013698,0.7477477477477478,0.45320197044334976,0.6280100334448161,0.17980295566502463,46,27,249,84
shared_lora_g3,g3,武大人民医院,89,,,0.6404494382022472,0.6404494382022472,,1.0,0.0,0.7808219178082192,,0.6404494382022472,57,0,0,32
shared_lora_g3,g3,荆州市第一人民医院,406,0.6934739617666447,0.19872055914687883,0.5985221674876847,0.7297297297297297,0.5853658536585366,0.15,0.9557522123893806,0.2488479262672811,0.6575477916941331,0.4433497536945813,27,153,216,10
shared_lora_g3,g3,襄阳市中心医院,500,0.502937062937063,0.2921706596432387,0.56,0.43636363636363634,0.5948717948717949,0.23300970873786409,0.7891156462585034,0.3037974683544304,0.5156177156177156,0.412,48,158,232,62
shared_lora_g4,g4,十堰市人民医院,496,0.7870879120879121,0.3020812091429117,0.7278225806451613,0.7142857142857143,0.7286324786324786,0.1360544217687075,0.9770773638968482,0.22857142857142856,0.7214590964590964,0.2963709677419355,20,127,341,8
shared_lora_g4,g4,恩施州中心医院,406,0.691304347826087,0.5594273971983132,0.7266009852216748,0.3923076923076923,0.8840579710144928,0.6144578313253012,0.7554179566563467,0.4788732394366197,0.6381828316610926,0.2044334975369458,51,32,244,79
shared_lora_g4,g4,武大人民医院,89,,,0.7752808988764045,0.7752808988764045,,1.0,0.0,0.8734177215189873,,0.7752808988764045,69,0,0,20
shared_lora_g4,g4,荆州市第一人民医院,406,0.6570717058521937,0.14733019217053547,0.6896551724137931,0.5405405405405406,0.7046070460704607,0.15503875968992248,0.9386281588447654,0.24096385542168675,0.6225737933055007,0.31773399014778325,20,109,260,17
shared_lora_g4,g4,襄阳市中心医院,500,0.5025407925407925,0.305186669476008,0.598,0.4090909090909091,0.6512820512820513,0.24861878453038674,0.7962382445141066,0.30927835051546393,0.5301864801864802,0.362,45,136,254,65
shared_lora_no_align,no_align,十堰市人民医院,496,0.7755647130647131,0.2513502178194674,0.6270161290322581,0.75,0.6196581196581197,0.10552763819095477,0.9764309764309764,0.18502202643171806,0.6848290598290598,0.4012096774193548,21,178,290,7
