model_name,calibration_variant,uses_unlabeled_target_distribution,auroc,brier,ece,sensitivity,specificity,ppv,npv,cin3_sensitivity,cin3_false_negatives,referral_rate
ClinicalOnly_XGBoost,logit_median_matching_target_unlabeled,True,0.647054760320932,0.28841815329165005,0.31455093211679835,0.6319297222668009,0.4215097071539277,0.35415885562505334,0.7089458200879901,0.5506605148364516,106,0.5334395126027314
ClinicalOnly_XGBoost,no_calibration,False,0.647054760320932,0.2446572255030935,0.25868845568611337,0.2842862057468799,0.8396263289555973,0.4785284965891158,0.6781225974341533,0.3243125434284685,130,0.17985301056818975
ClinicalOnly_XGBoost,temperature_scaling_val_only,False,0.647054760320932,0.22977417756839286,0.26605689926108295,0.8349696371044686,0.2207762324278761,0.3406507633323005,0.720472027972028,0.8388988792238207,34,0.7678717783447633
ClinicalOnly_XGBoost,threshold_lock_only,False,0.647054760320932,0.2446572255030935,0.25868845568611337,0.6964023920203696,0.41742449991389546,0.3560914175519744,0.7112429952857281,0.7243859697094475,52,0.5776815689628391
ColposcopyOCTText_CrossAttention,full_model_calibration,True,0.6324630790795955,0.3316973516759572,0.35141810901015313,0.0745585874799358,0.999465811965812,0.75,0.6628028160587144,0.14387755102040817,167,0.06822218194998188
ColposcopyOCTText_CrossAttention,logit_median_matching_target_unlabeled,True,0.6324630790795955,0.3316973516759572,0.35141810901015313,0.0745585874799358,0.999465811965812,0.75,0.6628028160587144,0.14387755102040817,167,0.06822218194998188
ColposcopyOCTText_CrossAttention,no_calibration,False,0.6323715241099918,0.3517526386115256,0.37343216820856573,0.6726572698482811,0.5451736139434973,0.40632824645666404,0.7029236105467589,0.7866092338574775,50,0.5450487991829694
ColposcopyOCTText_CrossAttention,temperature_scaling_val_only,False,0.6324630790795955,0.291708662702321,0.3556223676797984,0.19550561797752808,1.0,1.0,0.6624436675671381,0.19183673469387755,144,0.19550561797752808
ColposcopyOCTText_CrossAttention,threshold_lock_only,False,0.6323715241099918,0.3517526386115256,0.37343216820856573,0.2301576437531494,0.9802220137585991,0.7081447963800904,0.6690707340233877,0.2646830847723705,139,0.19987722813113198
ColposcopyOCT_EarlyConcat,full_model_calibration,True,0.6009671231496523,0.35960873279132033,0.37458496876359865,0.16183262228206047,0.9219835087146858,0.45981854233010877,0.6702435472089474,0.22015949507167307,139,0.1445909958809235
ColposcopyOCT_EarlyConcat,logit_median_matching_target_unlabeled,True,0.6009671231496523,0.35960873279132033,0.37458496876359865,0.16183262228206047,0.9219835087146858,0.45981854233010877,0.6702435472089474,0.22015949507167307,139,0.1445909958809235
ColposcopyOCT_EarlyConcat,no_calibration,False,0.6007673591694005,0.359070116814347,0.37451358603294144,0.5680387574769598,0.6128151879344881,0.39710233780513715,0.6979772591381818,0.6562979321615152,66,0.44665917347079065
ColposcopyOCT_EarlyConcat,temperature_scaling_val_only,False,0.6009671231496523,0.2844494455478087,0.35294448738439604,0.21742594484167518,0.9743589743589743,0.6491228070175439,0.6644572115851968,0.2,142,0.20931685393258426
ColposcopyOCT_EarlyConcat,threshold_lock_only,False,0.6007673591694005,0.359070116814347,0.37451358603294144,0.3185718805943525,0.8103005954808712,0.433163256074834,0.6737429442114237,0.2941193028283192,122,0.288616020475756
ColposcopyOCT_LateFusion,full_model_calibration,True,0.5829939704230531,0.3108865540633674,0.33154598161929716,0.25074519467777895,0.7946083829567392,0.43434756835838967,0.6782996894121023,0.310921375170497,121,0.20821523112000673
ColposcopyOCT_LateFusion,logit_median_matching_target_unlabeled,True,0.5829939704230531,0.3108865540633674,0.33154598161929716,0.25074519467777895,0.7946083829567392,0.43434756835838967,0.6782996894121023,0.310921375170497,121,0.20821523112000673
ColposcopyOCT_LateFusion,no_calibration,False,0.5829939704230531,0.3221530789960932,0.374440034639389,0.46135592922109775,0.6516459562588937,0.3937857013075229,0.6949157774593144,0.5925484790385258,79,0.36300171601404807
