model_name,center,n,number_referred_cin2_threshold,referral_rate,cin2_sensitivity,cin3_sensitivity,cin2_false_negatives,cin3_false_negatives,specificity,npv,ppv,unnecessary_model_positive_referrals,unnecessary_referrals_avoided_vs_treat_all,missed_cin2_per_1000,missed_cin3_per_1000,threshold_cin2,threshold_cin3,referred_per_1000,false_positive_referrals_per_1000
ColposcopyOCT_EarlyConcat,恩施州中心医院,406,27,0.0665024630541872,0.16923076923076924,0.21875,108,50,0.9818840579710145,0.7150395778364116,0.8148148148148148,5,271,266.00985221674875,123.15270935960591,0.9991288992498429,0.9991288992498429,66.50246305418719,12.315270935960593
ColposcopyOCT_EarlyConcat,武大人民医院,89,55,0.6179775280898876,0.6179775280898876,0.8571428571428571,34,7,,0.0,1.0,0,0,382.02247191011236,78.65168539325842,0.1344045007933312,0.0121255091176864,617.9775280898876,0.0
ColposcopyOCT_EarlyConcat,荆州市第一人民医院,406,161,0.39655172413793105,0.3783783783783784,0.23076923076923078,23,10,0.6016260162601627,0.9061224489795918,0.08695652173913043,147,222,56.65024630541872,24.630541871921185,0.9890175708118912,0.999571297752922,396.55172413793105,362.0689655172414
ColposcopyOCT_EarlyConcat,襄阳市中心医院,500,178,0.356,0.42727272727272725,0.16393442622950818,63,51,0.6641025641025641,0.8043478260869565,0.2640449438202247,131,259,126.0,102.0,0.9312503156746331,0.9997635343314666,356.0,262.0
ColposcopyOCT_LateFusion,十堰市人民医院,496,44,0.08870967741935484,0.17857142857142858,0.25,23,3,0.9166666666666666,0.9491150442477876,0.11363636363636363,39,429,46.37096774193549,6.048387096774193,0.5883646398280241,0.6289315317288928,88.70967741935485,78.62903225806451
ColposcopyOCT_LateFusion,恩施州中心医院,406,82,0.2019704433497537,0.36153846153846153,0.4375,83,36,0.8731884057971014,0.7438271604938271,0.573170731707317,35,241,204.43349753694582,88.66995073891626,0.5828442863047787,0.5828442863047787,201.9704433497537,86.20689655172414
ColposcopyOCT_LateFusion,武大人民医院,89,37,0.4157303370786517,0.4157303370786517,0.7142857142857143,52,14,,0.0,1.0,0,0,584.2696629213483,157.30337078651684,0.415498317960309,0.1165041220532328,415.7303370786517,0.0
ColposcopyOCT_LateFusion,荆州市第一人民医院,406,128,0.31527093596059114,0.21621621621621623,0.15384615384615385,29,11,0.6747967479674797,0.89568345323741,0.0625,120,249,71.42857142857143,27.093596059113302,0.765965832596593,0.9155981548558708,315.27093596059115,295.56650246305423
ColposcopyOCT_LateFusion,襄阳市中心医院,500,350,0.7,0.7909090909090909,0.5573770491803278,23,27,0.32564102564102565,0.8466666666666667,0.24857142857142858,263,127,46.0,54.0,0.22348059885164454,0.5540630477838984,700.0,526.0
ColposcopyOnly_ViT,十堰市人民医院,496,211,0.4254032258064516,0.42857142857142855,0.5,16,2,0.5747863247863247,0.9438596491228071,0.05687203791469194,199,269,32.25806451612903,4.032258064516129,0.6943529019485931,0.6943529019485931,425.40322580645164,401.2096774193548
