stratum_type,stratum,n,auroc,sensitivity,specificity,ppv,npv,false_negatives,false_positives,referral_rate,cin3_false_negatives,notes
hpv,"5,88",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,51,7,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"51,35,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"51,52",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"51,52,33",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"51,54,58,82",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"51,58",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,52,67,,,0.9402985074626866,0.0,1.0,0,4,0.05970149253731343,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,11,43,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,16",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,18",1,,0.0,,,0.0,1,0,0.0,1,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,33",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,51,26",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,53",4,,,0.75,0.0,1.0,0,1,0.25,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,53,42",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,56,58,59",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,58",1,,1.0,,1.0,,0,0,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,58,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,58,68",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,59",2,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,66",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,66,35",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,68",2,,,0.5,0.0,1.0,0,1,0.5,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,81,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,82",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"52,9",2,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,53,36,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"53,35,56",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"53,39",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"53,42",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"53,54",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"53,56",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"53,56,58,42",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"53,58",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"53,68",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"53,81",1,,0.0,,,0.0,1,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"53,81,",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,55,1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,56,1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"56,18",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"56,53,11,31,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"56,58,61",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,58,34,0.25517241379310346,0.0,0.896551724137931,0.0,0.8387096774193549,5,3,0.08823529411764706,3,
hpv,"58,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"58,11",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"58,33,59",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"58,54",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"58,81",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"58,81,51,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,59,5,,,0.8,0.0,1.0,0,1,0.2,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"59,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
