method,setting,n,auc,sensitivity,specificity,npv,ece,brier,source,cin3_false_negatives
DirectGated_AllCenterPatientHoldout_random_one,random_one,196,0.7632575757575758,0.515624999999992,0.9166666666666596,0.7960526315789421,0.0917748284469149,0.1721980000753344,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectGated_AllCenterPatientHoldout_random_two,random_two,196,0.7381036931818182,0.5312499999999918,0.8636363636363571,0.7916666666666612,0.1069506634102791,0.1926026271281864,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectGated_AllCenterPatientHoldout_remove_clinical_prior,remove_clinical_prior,196,0.8125,0.64062499999999,0.8787878787878721,0.8345323741007135,0.0483764091706169,0.1525218056570469,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectGated_AllCenterPatientHoldout_remove_colposcopy,remove_colposcopy,196,0.7547348484848485,0.6093749999999906,0.8787878787878721,0.8226950354609871,0.1197666528881812,0.1739687512044156,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectGated_AllCenterPatientHoldout_remove_oct,remove_oct,196,0.7811316287878788,0.6562499999999898,0.7651515151515094,0.8211382113821072,0.1146876615833263,0.1964689377463024,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectLateAUCSelect_AllCenterPatientHoldout_random_one,random_one,196,0.8223248106060606,0.6718749999999896,0.9090909090909024,0.851063829787228,0.1393647164163388,0.1540210699146309,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectLateAUCSelect_AllCenterPatientHoldout_random_two,random_two,196,0.8248106060606061,0.64062499999999,0.9015151515151448,0.8380281690140786,0.131326436540302,0.1560440401298482,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectLateAUCSelect_AllCenterPatientHoldout_remove_clinical_prior,remove_clinical_prior,196,0.8592566287878788,0.6718749999999896,0.9242424242424172,0.8531468531468472,0.1236570594661241,0.1390622589790173,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectLateAUCSelect_AllCenterPatientHoldout_remove_colposcopy,remove_colposcopy,196,0.8014914772727273,0.6249999999999903,0.9015151515151448,0.8321678321678264,0.1253368789140059,0.1574308155739702,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectLateAUCSelect_AllCenterPatientHoldout_remove_oct,remove_oct,196,0.8602035984848485,0.7187499999999888,0.8560606060605996,0.8625954198473217,0.176420761006219,0.1641004630204681,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectLate_AllCenterPatientHoldout_random_one,random_one,588,0.8307949284511784,0.7083333333333297,0.8459595959595938,0.8567774936061359,0.0645632958011923,0.1395858346938844,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectLate_AllCenterPatientHoldout_random_two,random_two,588,0.7942839856902357,0.7083333333333297,0.7828282828282808,0.8469945355191233,0.1062351307787356,0.1608034065490261,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectLate_AllCenterPatientHoldout_remove_clinical_prior,remove_clinical_prior,588,0.8499316077441077,0.6041666666666635,0.9595959595959572,0.8333333333333315,0.0538145761986795,0.1287478244797892,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectLate_AllCenterPatientHoldout_remove_colposcopy,remove_colposcopy,588,0.7928240740740741,0.6093749999999969,0.9191919191919168,0.8291571753986313,0.0772524120501514,0.1513339389227051,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectLate_AllCenterPatientHoldout_remove_oct,remove_oct,588,0.8567708333333334,0.7343749999999962,0.808080808080806,0.8625336927223696,0.0783976960521774,0.1379989255982279,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
HyDRA_AllCenterPatientHoldout_70_10_20_random_one,random_one,196,0.7407670454545454,0.515624999999992,0.9242424242424172,0.7973856209150275,0.1951323032987361,0.2053926709497358,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
HyDRA_AllCenterPatientHoldout_70_10_20_random_two,random_two,196,0.7556818181818182,0.5937499999999908,0.8484848484848421,0.8115942028985449,0.2102515688356087,0.2109811774371376,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
