representation,center_a,center_b,mmd_distance
feature_concat_proxy,恩施州中心医院,襄阳市中心医院,0.20907423875763187
feature_concat_proxy,武大人民医院,十堰市人民医院,0.3520424520321319
feature_concat_proxy,武大人民医院,恩施州中心医院,0.324605390420482
feature_concat_proxy,武大人民医院,武大人民医院,0.0
feature_concat_proxy,武大人民医院,荆州市第一人民医院,0.3034801902798505
feature_concat_proxy,武大人民医院,襄阳市中心医院,0.22583264291055882
feature_concat_proxy,荆州市第一人民医院,十堰市人民医院,0.25444790044940757
feature_concat_proxy,荆州市第一人民医院,恩施州中心医院,0.35513751609354305
feature_concat_proxy,荆州市第一人民医院,武大人民医院,0.3034801902798505
feature_concat_proxy,荆州市第一人民医院,荆州市第一人民医院,0.0012669081326706078
feature_concat_proxy,荆州市第一人民医院,襄阳市中心医院,0.2713726670025305
feature_concat_proxy,襄阳市中心医院,十堰市人民医院,0.22049104737427316
feature_concat_proxy,襄阳市中心医院,恩施州中心医院,0.21041475591361491
feature_concat_proxy,襄阳市中心医院,武大人民医院,0.22583264291055882
feature_concat_proxy,襄阳市中心医院,荆州市第一人民医院,0.29325209890611403
feature_concat_proxy,襄阳市中心医院,襄阳市中心医院,0.0027157722281319074
